id,Espécie,Nome Popular,Sinonímia,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão,genus
716,Theobroma cacao,['Cacau'],,Malvaceae,"['amazonia', 'mata atlantica']",['florestal'],"['floresta ombrofila densa', 'mata ciliar', 'mata de varzea', 'terra firme']","['ac', 'am', 'ap', 'ba', 'ma', 'pa', 'ro']","{'all': ['abr', 'set']}","Colher os frutos diretamente na árvore quando estiverem maduros. Depois, despolpar manualmente as sementes em água corrente.",3.0,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,2.0,0.115,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,1.0,diversidade,1.0,s01,arvore,"{'all': ['dez', 'abr']}","{'all': ['abr', 'set']}","['alimenticio', 'aromatico', 'madeireiro']",0.0,['dipteros'],['zoocoria'],Theobroma
717,Theobroma grandiflorum,['Cupuaçu'],,Malvaceae,['amazonia'],['florestal'],"['mata de varzea', 'terra firme']","['ac', 'am', 'pa']","{'all': ['fev', 'abr']}","Colher os frutos diretamente na árvore quando estiverem maduros. Depois, despolpar manualmente as sementes em água corrente.",3.0,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,2.0,0.04,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,1.0,diversidade,,s01,arvore,"{'all': ['set', 'nov']}","{'all': ['fev', 'abr']}","['alimenticio', 'madeireiro']",0.0,['abelhas'],['zoocoria'],Theobroma
718,Tibouchina gracilis,"['Quaresma', 'Quaresmeira', 'Flor-de-quaresma']","Chaetogastra fraterna DC., Chaetogastra gracili, Chaetogastra hirsuta, Lasiandra gracilis, Lasiandra Pleroma gracile, Pleroma pulchellum, Pleroma pulchrum, Rhexia gracilis",Melastomataceae,['cerrado'],"['campestre', 'savanica']","['campo limpo', 'cerrado tipico']","['df', 'go', 'mg', 'ms', 'mt', 'pr', 'rj', 'rs', 'sc', 'sp', 'to']","{'cerrado': ['fev', 'jul']}","Colheita manual dos frutos secos e abertos, secagem a sombra para abertura completa dos frutos e liberação das sementes e uso de peneiras para separar as sementes.",4.0,,,,,1.0,,,,,,subarbusto,"{'cerrado': ['out', 'jul']}","{'cerrado': ['fev', 'jul']}",[],0.0,['abelhas'],['anemocoria'],Tibouchina
719,Tococa guianensis,['Tococa-da-guiana'],"Tococa cachimbensis Brade, Tococa cardiophylla Naudin, Tococa discolor Pilg., Tococa formicaria Mart., Tococa formicaria var. didymophysca DC., Tococa juruensis Pilg., Tococa loretensis Ule",Melastomataceae,['cerrado'],"['florestal', 'savanica']","['cerrado rupestre', 'mata ciliar', 'mata de galeria', 'vereda']","['ac', 'am', 'ap', 'ba', 'df', 'go', 'ma', 'mg', 'ms', 'mt', 'pa', 'pe', 'pi', 'ro', 'rr', 'sp']","{'cerrado': ['set', 'nov']}","Colher os frutos diretamente na arvoreta quando maduros com coloração roxa. Remover a polpa dos frutos com peneira fina em água corrente para separar as pequenas sementes. Após, as sementes estarão prontas para semeadura.",,t4,,3000.0,Tempo indeterminado em câmara fria.,1.0,1.0,1.0,diversidade,,p4,arvoreta,"{'cerrado': ['set', 'out']}","{'cerrado': ['set', 'nov']}",[],0.0,['abelhas'],['zoocoria'],Tococa
720,Tocoyena formosa,"['Jenipapo-de-cavalo', 'Olho-de-boi', 'Marmelada-preta', 'Marmelo-preto']","Gardenia formosa Cham. & Schltdl., Gardenia maritima Vahl ex DC., Tocoyena formosa var. maxima Chodat & Hassl., Tocoyena formosa var. microdon (Mart.) Gottsb. & Ehrend., Tocoyena formosa var. petropolitana Glaz., Tocoyena formosa var. pseudobrasiliensis Gottsb. & Ehrend., Tocoyena hirsuta Moric. ex DC., Tocoyena microdon Mart., Tocoyena mollis Krause, Tocoyena stipulacea K.Schum. ex Glaz., Tocoyena stipulosa K.Schum., Tocoyena surinamensis Bremek., Tocoyena velutina Mart., Ucriana hirsuta (Moric. ex DC.) D.Dietr., Tocoyena formosa (Cham. & Schltdl.) K.Schum. subsp. formosa",Rubiaceae,"['cerrado', 'pantanal']","['florestal', 'savanica']","['cerrado rupestre', 'cerrado tipico', 'cerradao', 'mata riparia', 'mata semidecidua', 'mata de galeria', 'vereda']","['am', 'ap', 'ba', 'ce', 'ma', 'mg', 'pa', 'pb', 'pe', 'pi', 'pr', 'rn', 'sp', 'to']","{'cerrado': ['mar', 'abr'], 'pantanal': ['mar', 'jun']}",Os frutos devem ser colhidos diretamente da árvore quando apresentarem coloração amarelada. Em seguida deixá-los amontoados em saco plástico até o apodrecimento parcial de sua polpa para facilitar a separação das sementes através da lavagem em água corrente.,3.0,t3,1.0,25.0,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,diversidade,0.0,p2,arvore,"{'cerrado': ['jul', 'nov'], 'pantanal': ['nov', 'mar']}","{'cerrado': ['jan', 'abr'], 'pantanal': ['mar', 'jun']}",['forrageiro'],0.0,['mariposas'],['zoocoria'],Tocoyena
721,Trachypogon spicatus,[],Stipa spicata L.f.,Poaceae,['cerrado'],['campestre'],"['campo limpo', 'campo rupestre']","['am', 'ap', 'ba', 'ce', 'go', 'ma', 'mg', 'ms', 'mt', 'pa', 'pb', 'pe', 'rn', 'ro', 'rr', 'sp', 'to']","{'all': ['jun', 'jun']}",Colher quando as inflorescências estiverem secas. O uso de ensiladeira pode ajudar na colheita.,0.0,,,416.667,,,,,recobrimento,,,erva,,"{'all': ['jun', 'jun']}",[],0.0,['vento'],['autocoria'],Trachypogon
722,Trattinnickia rhoifolia,"['Breu-manga', 'Amesclão', 'Breu-sucuruba']","Trattinnickia rhoifolia subsp. sprucei Engl., Trattinnickia rhoifolia subsp. willdenowii Engl., Trattinnickia rhoifolia Willd. var. rhoifolia",Burseraceae,['amazonia'],['florestal'],['terra firme'],"['ac', 'am', 'ap', 'pa', 'ro', 'rr']","{'all': ['set', 'jul']}","Colher os frutos diretamente na árvore quando apresentarem coloração roxa ou no chão quando iniciarem a queda espontânea. Em seguida, deixá-los amontoados em saco plástico durante alguns dias até a decomposição parcial da polpa para facilitar a remoção da semente através da lavagem em água corrente.",1.0,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,1.0,0.76,Tempo indeterminado em câmara fria.,1.0,3.0,1.0,recobrimento,1.0,s01,arvore,"{'all': ['ago', 'jan']}","{'all': ['set', 'jul']}",['madeireiro'],0.0,['abelhas'],['zoocoria'],Trattinnickia
723,Trema micrantha,"['Piriquiteira', 'Grandiúva', 'Pau-pólvora', 'Crindiúva', 'Orindeúva', 'Coatidiba', 'Orindiba', 'Gurindiba', 'Candiúba', 'Taleira', 'Motamba', 'Seriúva', 'Cambriúva', 'Quindiúva', 'Crindiúva', 'Amora-brava', 'Chico-magro.']","Celtis albicans Willd. ex Steud., Celtis canescens Kunth, Celtis chichilea Ruiz & Pav. ex Planch., Celtis curiandiuba M.Gómez ex Planch., Celtis lima Lam., Celtis macrophylla Kunth, Celtis micrantha (L.) Sw., Celtis microcarpa Salzm. ex Planch., Celtis microcarpa Salzm. ex Planchon, Celtis mollis Humb. & Bonpl. ex Willd., Celtis rufescens Banks ex Planch., Celtis rufescens Banks ex Planchon, Celtis schiedeana Schltdl., Rhamnus micrantha L., Sponia canescens (Kunth) Decne., Sponia chichilea Planch., Sponia crassifolia Liebm., Sponia grisea Liebm., Sponia lima Decne., Sponia macrophylla (Kunth) Decne., Sponia micrantha (L.) Decne. ex Planch., Sponia micrantha (L.) Decne., Sponia mollis Decne., Sponia peruviana Klotzsch, Sponia riparia Decne., Sponia schiedeana (Schltdl.) Planch., Trema canescens (Kunth) Blume, Trema chichilea (Planch.) Blume, Trema lima Blume, Trema macrophylla (Kunth) Blume, Trema melinona Blume, Trema mollis (Humb. & Bonpl. ex Willd.) Blume, Trema riparia Blume, Trema rufescens Blume, Trema schiedeana (Schltdl.) Blume, Trema strigillosa Lundell",Cannabaceae,"['cerrado', 'mata atlantica', 'pampa', 'pantanal']","['florestal', 'savanica']","['cerradao', 'floresta estacional', 'floresta estacional semidecidual', 'floresta ombrofila densa', 'mata ciliar', 'mata riparia', 'mata seca', 'mata semidecidua', 'mata de galeria', 'restinga', 'vereda']","['ac', 'al', 'am', 'ap', 'ba', 'ce', 'df', 'es', 'go', 'ma', 'mg', 'ms', 'mt', 'pa', 'pb', 'pe', 'pi', 'pr', 'rj', 'rn', 'ro', 'rr', 'rs', 'sc', 'se', 'sp', 'to']","{'cerrado': ['jan', 'mai'], 'mata atlantica': ['jan', 'mai']}","Os frutos devem ser coletados quando atingem a coloração verde-vermelha a vermelha, em seguida devem ficar dois dias na água para facilitar a extração de sementes. O beneficiamento é feito através de maceração dos frutos em peneira. As sementes devem ser colocadas em peneiras e postas em ambiente ventilado para a secagem.",2.0,t3,1.0,232.5,Tempo indeterminado em câmara fria.,1.0,3.0,2.0,recobrimento,2.0,p3,arvore,"{'cerrado': ['ago', 'jan'], 'mata atlantica': {'pa': ['ago', 'set', 'dez', 'dez'], 'go': ['ago', 'jan', 'dez', 'dez'], 'df': ['ago', 'jan', 'dez', 'dez'], 'sp': ['ago', 'fev', 'dez', 'dez'], 'mg': ['set', 'dez', 'set', 'dez'], 'pr': ['out', 'jan'], 'rj': ['nov', 'mai'], 'es': ['mar', 'dez']}, 'pantanal': ['ago', 'abr'], 'pampa': ['set', 'dez']}","{'cerrado': ['jan', 'mar'], 'mata atlantica': ['jan', 'jan', 'mar'], 'pantanal': ['ago', 'abr'], 'pampa': ['jan', 'mar']}","['artesanal', 'forrageiro', 'fibra', 'madeireiro', 'medicinal', 'melifero', 'resina']",0.0,['abelhas'],['zoocoria'],Trema
724,Trembleya parviflora,['Trembleya'],,Melastomataceae,['cerrado'],"['campestre', 'florestal', 'savanica']","['campo rupestre', 'campo sujo', 'mata ciliar', 'mata de galeria', 'palmeiral', 'vereda']","['ba', 'df', 'es', 'go', 'mg', 'pr', 'rj', 'sp']","{'cerrado': ['fev', 'out']}","Colher os frutos diretamente da arvoreta quando iniciarem a abertura espontânea. Em seguida, deixá-los ao sol para completarem sua abertura e a liberação das minúsculas sementes.",3.0,t4,1.0,,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,recobrimento,1.0,p4,arvoreta,"{'cerrado': ['fev', 'out']}","{'cerrado': ['fev', 'out']}",[],0.0,['abelhas'],['autocoria'],Trembleya
725,Trichanthecium cyanescens,['Capim-ciano'],"Panicum cyanescens Nees ex Trin., Panicum carannasense Mez, Panicum rectissimum Mez, Panicum savannarum Soderstr., Panicum vinnulum Swallen",Poaceae,['cerrado'],"['campestre', 'florestal']","['campo limpo', 'campo rupestre', 'mata ciliar', 'mata de galeria']","['am', 'ap', 'ba', 'df', 'go', 'mg', 'ms', 'mt', 'pa', 'pe', 'pr', 'rj', 'rn', 'ro', 'rr', 'rs', 'sc', 'se', 'sp', 'to']","{'cerrado': ['mar', 'jun']}",Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,0.0,,,,,1.0,,,,,,erva,"{'cerrado': ['fev', 'fev']}","{'cerrado': ['mar', 'jun']}",[],0.0,['vento'],['autocoria'],Trichanthecium
726,Trichilia catigua,"['Pombeiro', 'Veludo', 'Catiguá', 'Catiguá-guaçu', 'Cataguá', 'Angelim-rosa', 'Cedrinho', 'Mangaltô-catinga']","Moschoxylum affine A. Juss., Moschoxylum catigua A. Juss., Trichilia affins A. Juss., Trichilia alba Rojas Acosta, Trichilia catigua var. affinis (A. Juss.) C. DC., Trichilia catigua var. glabrior C. DC., Trichilia catigua var. longifoliola C. DC., Trichilia catigua var. pallens C. DC., Trichilia catigua var. parviflora A. Juss., Trichilia catigua var. pilosior C. DC., Trichilia flaviflora C. DC., Trichilia polyclada C. DC.",Meliaceae,['pantanal'],['florestal'],"['mata riparia', 'mata seca (decidua)', 'mata semidecidua']","['ac', 'ba', 'df', 'es', 'go', 'mg', 'ms', 'mt', 'pr', 'rj', 'rs', 'sc', 'sp']","{'pantanal': ['fev', 'mar']}","Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea, cortando-se os ramos frutiferos e deixando os frutos secarem à sombra para completar a abetura e a liberação das sementes (Lorenzi, 2009).",1.0,t4,,7.8,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,,p4,arvore,"{'pantanal': ['jan', 'fev']}","{'pantanal': ['fev', 'mar']}","['fibra', 'madeireiro', 'melifero', 'ornamental', 'tintorial']",0.0,['insetos pequenos'],['zoocoria'],Trichilia
727,Trichilia elegans,['Cachuá'],"Moschoxylum elegans (A. Juss.) A. Juss., Moschoxylum viride Rusby, Odontandra elegans (A. Juss.) Triana & Planch., Odontosiphon elegans M.J. Roemer, Trichilia alba C. DC., Trichilia graciliflora Harms, Trichilia guayaquilensis C. DC., Trichilia hassleri C.DC., Trichilia hirsuta C.DC., Trichilia subarborescens C. DC., Trichilia validinervia Harms, Trichilia warmingii C.DC., Trichilia weberbaueri C. DC.",Meliaceae,['pantanal'],"['florestal', 'savanica']","['chaco', 'mata riparia', 'mata semidecidua']","['ac', 'ba', 'ce', 'df', 'es', 'go', 'ma', 'mg', 'ms', 'mt', 'pa', 'pr', 'rj', 'rs', 'sc', 'sp']","{'pantanal': ['jan', 'mar']}","Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea, cortando-se os ramos frutiferos e deixando os frutos secarem à sombra para completar a abetura e a liberação das sementes.",,t3,,,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,,,arvore,"{'pantanal': ['out', 'dez']}","{'pantanal': ['jan', 'mar']}","['artesanal', 'forrageiro', 'madeireiro', 'medicinal', 'melifero', 'tintorial', 'toxico para animais']",0.0,['mariposas'],['zoocoria'],Trichilia
728,Trichilia pallida,['Catiguá'],"Trichilia brachystachya Klotzsch ex DC., Trichilia excelsa Benth., Trichilia macrophylla Benth., Trichilia montana (Kunth) Juss., Trichilia trinitensis A.Juss., Trichilia weddellii C.DC.",Meliaceae,['amazonia'],"['florestal', 'savanica']","['mata ciliar', 'savana']","['ac', 'am', 'ba', 'df', 'es', 'go', 'mg', 'ms', 'mt', 'pa', 'pr', 'rj', 'ro', 'rr', 'sp']","{'all': ['jun', 'set']}","Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, o que é facilmente notado pela exposição do arilo vermelho que envolve as sementes. Em seguida levá-los ao sol para completar a abertura e liberação das sementes. Não é necessário remover o arilo que envolve as sementes antes de semear, apenas deixar secar um pouco.",3.0,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,1.0,14.0,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,1.0,diversidade,1.0,s01,arvore,"{'all': ['mai', 'mai', 'set', 'nov']}","{'all': ['jun', 'set']}",[],0.0,"['abelhas', 'mariposas']",['zoocoria'],Trichilia
729,Trifolium polymorphum,[],,Fabaceae,['pampa'],['campestre'],"['campo seco', 'campo umido']","['pr', 'rs']","{'all': ['dez', 'abr']}",,,,,,,,,,,,,liana,,"{'all': ['nov', 'dez']}",['forrageiro'],,[],,Trifolium
730,Triplaris americana,"['Pau-formiga', 'Pau-de-novato', 'Novateiro-de-mato-grosso', 'Formigueiro', 'Novateiro', 'Pau-de-formiga']","Triplaris boliviana Rusby, Triplaris laxa Blake, Triplaris pavonii Meisn., Triplaris schomburgkiana Benth.",Polygonaceae,"['cerrado', 'pantanal']","['campestre', 'florestal']","['campo inundavel', 'mata riparia', 'mata semidecidua', 'mata de galeria']","['ac', 'am', 'go', 'ms', 'mt', 'pa', 'pr', 'sp']","{'cerrado': ['nov', 'jan'], 'pantanal': ['set', 'out']}","Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos podem ser diretamente utilizados para a semeadura, não havendo necessidade de separar as sementes. Entretanto caso deseja-se reduzir o volume para efeito de remessa ou armazenamento pode-se deixá-los ao sol para secar e facilitar a retirada manual das sépalas e pericarpo. Colocar as sementes ou frutos para germinação.",3.0,t3,1.0,17.6,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,recobrimento,1.0,p3,arvore,"{'cerrado': ['ago', 'out'], 'pantanal': ['ago', 'set']}","{'cerrado': ['nov', 'jan'], 'pantanal': ['set', 'out']}","['artesanal', 'ornamental']",0.0,['vento'],['anemocoria'],Triplaris
731,Triplaris gardneriana,"['Novateiro', 'Pau-de-novato', 'Novato', 'Formigueiro', 'Louvateiro', 'Novateiro-preto', 'Pau-jaú', 'Pajaú']",Triplaris pachau Mart.,Polygonaceae,"['cerrado', 'pantanal']","['florestal', 'savanica']","['cerradao', 'chaco', 'mata ciliar', 'mata riparia', 'mata seca', 'mata seca (decidua)', 'mata semidecidua', 'mata de galeria']","['al', 'ba', 'ce', 'df', 'go', 'ma', 'mg', 'ms', 'mt', 'pb', 'pe', 'pi']","{'cerrado': ['ago', 'out'], 'pantanal': ['set', 'out']}","Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos podem ser diretamente utilizados para a semeadura, não havendo necessidade de separar as sementes. Entretanto caso deseja-se reduzir o volume para efeito de remessa ou armazenamento pode-se deixá-los ao sol para secar e facilitar a retirada manual das sépalas e pericarpo. Colocar as sementes ou frutos para germinação.",3.0,t3,1.0,17.0,Tempo indeterminado em câmara fria.,2.0,1.0,1.0,recobrimento,2.0,p3,arvore,"{'cerrado': ['jul', 'ago'], 'pantanal': ['jul', 'ago']}","{'cerrado': ['ago', 'ago'], 'pantanal': ['ago', 'out']}","['artesanal', 'madeireiro', 'medicinal', 'melifero', 'ornamental']",1.0,['vento'],['anemocoria'],Triplaris
732,Tristachya leiostachya,['Aveia-do-cerrado'],,Poaceae,['cerrado'],['campestre'],"['campo rupestre', 'campo sujo']","['ba', 'df', 'go', 'mg', 'ms', 'mt', 'pr', 'sp']","{'cerrado': ['dez', 'jul']}",Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,1.0,,,,,1.0,,,,,,erva,"{'cerrado': ['nov', 'jun']}","{'cerrado': ['dez', 'jul']}",[],0.0,['vento'],['epizoocoria'],Tristachya
733,Uncaria guianensis,['Unha-de-gato'],"Ourouparia guianensis Aubl., Uncaria aculeata Willd., Uncaria spinosa Raeusch., Uruparia versicolor Raf., Nauclea guianensis (Aubl.) Poir.",Rubiaceae,['amazonia'],['florestal'],"['mata ciliar', 'mata de varzea', 'terra firme']","['ac', 'ms', 'mt']","{'all': ['jul', 'out']}",Colher os frutos diretamente na planta quando iniciarem a secagem. Em seguida deixá-los em local arejado para completar a abertura e liberação das sementes.,,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,1.0,,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,3.0,2.0,recobrimento,1.0,s01,liana,"{'all': ['mar', 'jun']}","{'all': ['jul', 'out']}",[],0.0,['mariposas'],['anemocoria'],Uncaria
734,Urochloa decumbens,['Braquiaria'],Brachiaria decumbens Stapf,Poaceae,['pantanal'],['campestre'],['campo nao inundavel'],"['al', 'ba', 'ce', 'df', 'es', 'go', 'mg', 'ms', 'mt', 'pa', 'pb', 'pe', 'pi', 'pr', 'rn', 'ro', 'rr', 'rs', 'sc', 'se', 'sp', 'to']",,,,,,,Tempo indeterminado em câmara fria.,1.0,,0.0,recobrimento,,,erva,,,['forrageiro'],0.0,"['vento', 'abelhas']",['zoocoria'],Urochloa
735,Urochloa humidicola,['Umidicola'],Brachiaria humidicola (Rendle) Schweick.,Poaceae,['pantanal'],['campestre'],['campo nao inundavel'],"['am', 'ba', 'df', 'go', 'ma', 'mg', 'ms', 'pa', 'sc', 'sp']",,"As sementes que encontram-se na superfície do solo podem ser recolhidas manualmente e passadas em peneiras para a pré-limpeza no campo, e a realização da abanação (tecnica de limpeza).",1.0,,,,,1.0,,0.0,recobrimento,,,erva,,,['forrageiro'],0.0,"['vento', 'abelhas']",['zoocoria'],Urochloa
736,Vachellia caven,['Espinilho'],"Mimosa caven Molina, Acacia caven (Molina) Molina",Fabaceae,['pampa'],['savanica'],['vegetacao savanoide'],"['ms', 'rs']",,colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Deixar no sol para completar a abertura e facilitar a retirada das sementes.,,,1.0,14.5,,,,0.0,recobrimento,,,arvore,,,"['latex', 'medicinal', 'oleaginoso']",1.0,"['abelhas', 'insetos pequenos']",['autocoria'],Vachellia
737,Vachellia farnesiana,"['Acácia', 'Aromatica', 'Espinheiro', 'Esponjinha', 'Esponja', 'Arapicara', 'Vinhático-de-espinho', 'Corona-cristi']","Mimosa farnesiana L., Acacia farnesiana (L.) Willd.",Fabaceae,['cerrado'],['florestal'],['mata seca'],"['am', 'ba', 'ce', 'df', 'go', 'ma', 'mg', 'ms', 'pa', 'pb', 'pe', 'pr', 'rn']","{'cerrado': ['ago', 'set']}",Colher os frutos (vagens) diretamente das plantas quando adquirirem coloração marrom ecura e iniciarem a queda espontânea. Em seguida deixá-los ao sol por alguns dias para facilitar sua abertura manual para a retirada das sementes.,2.0,t3,,11.5,Tempo indeterminado em câmara fria.,2.0,3.0,0.0,recobrimento,,p3,arvore,"{'cerrado': ['jun', 'set']}","{'cerrado': ['out', 'jan']}",[],1.0,['abelhas'],['zoocoria'],Vachellia
738,Vatairea guianensis,"['Fava-bolacha', 'Angelim-do-igapó', 'Fava-de-impigem', 'Faveira-do-igapó', 'Guáboa', 'Marupa-del-bajo']",Vatairea surinamensis Kleinhoonte,Fabaceae,['amazonia'],['florestal'],"['mata de varzea', 'terra firme']","['am', 'ap', 'mt', 'pa', 'ro']","{'all': ['mai', 'jun']}",Colher os frutos diretamente na árvore quando iniarem a abertura expontânea. Deixar no sol para completar a abertura e liberação das sementes.,,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,,,,,1.0,2.0,diversidade,,s01,arvore,"{'all': ['fev', 'jun']}","{'all': ['mar', 'jun']}","['madeireiro', 'medicinal']",1.0,['abelhas'],['anemocoria'],Vatairea
739,Vatairea macrocarpa,"['Angelim', 'Amargoso']","Machaerium macrocarpum Benth., Tipuana amazonica Ducke",Fabaceae,"['cerrado', 'pantanal']","['florestal', 'savanica']","['cerrado rupestre', 'cerrado tipico', 'cerradao', 'mata semidecidua']","['am', 'ba', 'ce', 'df', 'go', 'ma', 'mg', 'ms', 'mt', 'pa', 'pb', 'pe', 'pi', 'ro', 'sp', 'to']","{'cerrado': ['nov', 'jan'], 'pantanal': ['nov', 'nov']}",Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos podem ser diretamente usados para semeadura.,3.0,t3,0.0,0.7,Tempo indeterminado em câmara fria.,2.0,3.0,1.0,diversidade,0.0,p3,arvore,"{'cerrado': ['ago', 'set'], 'pantanal': ['ago', 'ago']}","{'cerrado': ['set', 'nov'], 'pantanal': ['nov', 'nov']}","['forrageiro', 'madeireiro', 'medicinal', 'melifero', 'ornamental']",1.0,['abelhas'],['anemocoria'],Vatairea
740,Vatairea paraensis,"['Amargoso', 'Angelim', 'Angelim-amarelo', 'Angelim-amargoso', 'Angelim-mandioqueiro', 'Fava-amarela', 'Fava-amargosa', 'Faveira', 'Faveira-amargosa', 'Faveira-amarela', '', 'Faveira-bolacha', 'Sapupira-amarela.']",,Fabaceae,['amazonia'],['florestal'],['terra firme'],"['am', 'pa']","{'all': ['jan', 'fev']}",Colher os frutos diretamente da árvore quando iniciarem processo de secagem. Em seguida deixá-los em local arejado para completarem a secagem. Remover manualmente o aparato de voo.,,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,,,Tempo indeterminado em câmara fria.,1.0,1.0,,diversidade,,s01,arvore,"{'all': ['set', 'nov']}","{'all': ['dez', 'fev']}",['madeireiro'],0.0,['abelhas'],['anemocoria'],Vatairea
741,Vataireopsis speciosa,['Angelim-amargoso'],,Fabaceae,['amazonia'],['florestal'],['terra firme'],"['am', 'mt', 'pa', 'ro']","{'all': ['ago', 'set']}",Colher os frutos diretamente na árvore quando estiverem secos. Remover os aparatos de voo antes de semear para diminuir o volume no recipiente.,,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,,,,1.0,1.0,0.0,recobrimento,,s01,arvore,"{'all': ['jul', 'set']}","{'all': ['ago', 'set']}","['madeireiro', 'medicinal']",1.0,['abelhas'],['anemocoria'],Vataireopsis
742,Vellozia dasypus,['Canela-de-ema¹'],Vellozia harleyi,Velloziaceae,['caatinga'],"['campestre', 'florestal']","['formacoes rochosas', 'mata brejo de altitude']","['ba', 'se']","{'all': ['nov', 'abr']}",Coletar diretamente na planta quando atingirem coloração marron (maduro) e iniciar abertura espontanea dos frutos.,,t3,0.0,,,2.0,2.0,0.0,diversidade,0.0,p3,subarbusto,"{'all': ['out', 'mar']}","{'all': ['nov', 'abr']}","['fibra', 'ornamental']",1.0,['abelhas'],['anemocoria'],Vellozia
743,Vellozia epidendroides,['Canela-de-ema'],Vellozia gracilis Seub.,Velloziaceae,['cerrado'],['campestre'],['campo rupestre'],['mg'],"{'cerrado': ['abr', 'jun']}","Colheita e abertura manual dos frutos. Observar que os frutos devem estar secos e ainda fechados, ou começando a abrir ainda com sementes dentro.",4.0,,,,,1.0,,,,,,subarbusto,"{'cerrado': ['nov', 'mar']}","{'cerrado': ['abr', 'jun']}",[],0.0,"['abelhas', 'vespas']",['autocoria'],Vellozia
744,Vellozia squamata,['Canela-de-ema'],Vellozia flavicans Mart. ex Schult. & Schult.f.,Velloziaceae,['cerrado'],"['campestre', 'savanica']","['campo rupestre', 'campo sujo', 'cerrado rupestre', 'cerrado tipico', 'parque de cerrado']","['ba', 'df', 'go', 'mg', 'mt']","{'cerrado': ['jun', 'out']}",Colher os frutos diretamente na planta quando começarem a abertura natural. Levar ao sol para secar e completar a abertura para liberação das sementes.,3.0,t2,0.0,,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,diversidade,0.0,p1,erva,"{'cerrado': ['mar', 'jun']}","{'cerrado': ['jun', 'out']}",[],0.0,"['abelhas', 'vespas']",['autocoria'],Vellozia
745,Vigna luteola,[],,Fabaceae,['pampa'],['campestre'],['banhado'],"['am', 'ba', 'df', 'mt', 'pa', 'pi', 'pr', 'rj', 'ro', 'rs', 'sc', 'sp']",,,,,,,,,,,,,,liana,,,[],,[],,Vigna
746,Virola michelii,['Ucuúba-da-terra-firme'],Virola melinonii Benoist,Myristicaceae,['amazonia'],['florestal'],['terra firme'],"['am', 'ap', 'ma', 'mt', 'pa', 'ro', 'rr']","{'all': ['nov', 'jan']}","Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida leva-los ao sol para completarem sua abertura e liberação da semente. Não é necessário remover o arilo que envolve a semente, apenas deixar secar um pouco antes de semear.",4.0,3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviario,,0.586,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,,diversidade,,s01,arvore,"{'all': ['jun', 'ago']}","{'all': ['set', 'jan']}",[],0.0,['abelhas'],['zoocoria'],Virola
